,Latitude,Longitude
0,40.828848333,-73.916661142
1,40.697338138,-73.784556739
2,40.802606608000005,-73.94505191100001
3,40.654549444000004,-73.726338791
4,40.7380024,-73.98789129
5,40.665022689000004,-73.957110763
6,40.720199996,-73.988735082
7,40.845707148,-73.910398033
8,40.856711290999996,-73.891899956
9,40.765617688,-73.96362342
10,40.822039935,-73.891732267
11,40.732828332,-73.986062857
12,40.757915693,-73.98929902
13,40.757915693,-73.98929902
14,40.644562053,-73.92766205
15,40.708095777,-73.78210174
16,40.755197275,-73.968296117
17,40.857924499,-73.89195221
18,40.606308897,-73.96513276600001
19,40.679498977,-73.862825258
20,40.655642023,-73.95986308399999
22,40.749307045,-73.897578152
23,40.67123699,-73.877222202
24,40.660258055999996,-73.913671137
25,40.586059585,-73.971742687
26,40.633032786,-74.02119331
27,40.669800195,-73.892397547
28,40.696493892,-73.949430815
29,40.624474678,-74.158203285
30,40.838861771,-73.910306061
31,40.720663793,-73.988063995
32,40.793300943,-73.948764998
33,40.826351439,-73.900368274
34,40.74278087,-73.986598482
35,40.762142149,-73.886566512
36,40.833648657,-73.905730918
37,40.872595407,-73.881276175
38,40.597238485,-74.085209605
39,40.717801138,-74.010610857
40,40.64489299,-74.021301578
42,40.79605784,-73.967052307
43,40.67123699,-73.877222202
44,40.678959455,-73.923136122
45,40.71163617,-73.962181187
46,40.711078612,-73.854720141
47,40.841560311,-73.860969547
48,40.701323372,-73.981795711
49,40.711564939,-73.98834336899999
50,40.841560311,-73.860969547
51,40.875888469,-73.858829418
52,40.670349221,-73.942107558
53,40.750049701,-73.86689910300001
54,40.711564939,-73.98834336899999
55,40.6717658,-73.919708915
56,40.595160563,-73.75320294699999
57,40.682024415,-73.903637746
58,40.595569998,-73.74710163399999
59,40.704417976,-73.943408842
60,40.794453562,-73.942584715
61,40.679670066,-73.936136211
62,40.668608645999996,-73.895027337
63,40.736690945999996,-73.995231092
64,40.698766949,-73.75512391
65,40.637222738,-74.115677715
