-73.757,40.683,2
-73.759,40.656,2
-73.775,40.665,2
-73.78,40.696,1
-73.781,40.648,108
-73.783,40.657,2
-73.784,40.652,8
-73.784,40.65,46
-73.785,40.648,28
-73.788,40.645,36
-73.788,40.65,16
-73.79,40.655,8
-73.791,40.649,146
-73.792,40.644,70
-73.793,40.658,4
-73.793,40.676,2
-73.794,40.653,32
-73.795,40.649,70
-73.795,40.65,104
-73.796,40.662,2
-73.797,40.658,28
-73.798,40.653,34
-73.798,40.716,2
-73.799,40.65,32
-73.799,40.678,4
-73.8,40.659,12
-73.8,40.66,16
-73.801,40.661,10
-73.802,40.657,30
-73.803,40.652,38
-73.803,40.689,2
-73.804,40.648,4
-73.804,40.666,2
-73.805,40.654,24
-73.805,40.717,2
-73.806,40.668,2
-73.807,40.663,8
-73.808,40.659,16
-73.808,40.695,2
-73.808,40.721,2
-73.809,40.654,36
-73.809,40.717,2
-73.81,40.663,6
-73.811,40.662,22
-73.811,40.66,10
-73.812,40.658,14
-73.812,40.694,2
-73.813,40.653,8
-73.814,40.649,2
-73.814,40.667,2
-73.815,40.662,32
-73.815,40.73,2
-73.816,40.658,10
-73.817,40.664,20
-73.818,40.696,2
-73.818,40.69,2
-73.82,40.659,6
-73.82,40.66,6
-73.82,40.677,2
-73.82,40.695,2
-73.821,40.663,4
-73.822,40.659,4
-73.822,40.66,6
-73.822,40.695,2
-73.823,40.654,2
-73.823,40.717,2
-73.824,40.668,6
-73.825,40.663,6
-73.826,40.659,4
-73.826,40.677,2
-73.827,40.654,2
-73.827,40.672,4
-73.828,40.679,2
-73.828,40.741,2
-73.829,40.656,2
-73.829,40.674,12
-73.83,40.764,2
-73.831,40.646,2
-73.831,40.664,4
-73.831,40.682,6
-73.833,40.718,12
-73.833,40.772,2
-73.834,40.669,8
-73.835,40.664,4
-73.835,40.727,2
-73.835,40.745,2
-73.835,40.763,2
-73.836,40.678,10
-73.836,40.722,4
-73.837,40.673,4
-73.837,40.718,2
-73.839,40.682,2
-73.839,40.763,4
-73.84,40.679,2
-73.84,40.723,2
-73.841,40.683,2
-73.843,40.674,4
-73.844,40.633,2
-73.845,40.683,2
-73.846,40.679,6
-73.846,40.705,2
-73.846,40.723,2
-73.846,40.741,2
-73.847,40.674,2
-73.847,40.692,8
-73.847,40.69,4
-73.847,40.719,2
-73.848,40.732,2
-73.849,40.683,4
-73.849,40.746,2
-73.85,40.69,2
-73.851,40.736,2
-73.851,40.772,2
-73.852,40.768,2
-73.853,40.756,4
-73.855,40.684,2
-73.856,40.706,4
-73.857,40.738,2
-73.857,40.774,2
-73.858,40.689,2
-73.858,40.69,2
-73.858,40.751,4
-73.859,40.684,2
-73.859,40.747,4
-73.859,40.846,2
-73.86,40.688,2
-73.86,40.732,12
-73.86,40.73,2
-73.861,40.692,4
-73.861,40.755,16
-73.862,40.688,2
-73.862,40.732,2
-73.862,40.769,64
-73.865,40.685,2
-73.865,40.766,4
-73.867,40.694,6
-73.867,40.702,6
-73.868,40.716,4
-73.868,40.734,10
-73.869,40.667,2
-73.869,40.685,2
-73.869,40.69,2
-73.869,40.766,26
-73.87,40.764,4
-73.871,40.693,4
-73.871,40.701,2
-73.871,40.738,2
-73.871,40.774,1154
-73.872,40.751,2
-73.873,40.729,2
-73.874,40.698,2
-73.875,40.701,4
-73.875,40.738,2
-73.875,40.756,2
-73.875,40.75,16
-73.875,40.774,550
-73.876,40.744,2
-73.877,40.695,2
-73.877,40.758,2
-73.878,40.735,2
-73.878,40.771,38
-73.878,40.78,4
-73.878,40.889,2
-73.879,40.749,2
-73.879,40.767,20
-73.88,40.697,2
-73.88,40.723,6
-73.88,40.741,2
-73.88,40.778,4
-73.881,40.694,2
-73.881,40.702,18
-73.881,40.739,8
-73.881,40.757,10
-73.881,40.775,8
-73.882,40.734,8
-73.882,40.752,4
-73.883,40.685,4
-73.883,40.711,2
-73.883,40.748,11
-73.883,40.766,14
-73.883,40.784,2
-73.883,40.847,2
-73.884,40.699,14
-73.884,40.707,2
